Conference,Year,Paper Title,Paper DOI,Link,IEEE XPLORE Article Number,"Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,Deduped author names,filename,Citations
InfoVis,2007,Browsing Zoomable Treemaps: Structure-Aware Multi-Scale Navigation Techniques,10.1109/TVCG.2007.70540,http://dx.doi.org/10.1109/TVCG.2007.70540,4376147,T,"Blanch, R.;Lecolinet, E.",37945254300;,"Blanch, R.;Lecolinet, E.",blanch_infovis_07,1382899;1532128;1532129;1173156;1382907;801860;4015431;1173148;1532132
InfoVis,2007,Casual Information Visualization: Depictions of Data in Everyday Life,10.1109/TVCG.2007.70541,http://dx.doi.org/10.1109/TVCG.2007.70541,4376134,T,"Pousman, Z.;Stasko, J.T.;Mateas, M.",37945316800;37267736900;37329261300,"Pousman, Z.;Stasko, J.;Mateas, M.",pousman_infovis_07,1532126;1382897;1249031;1382903;146375
InfoVis,2007,Exploring Multiple Trees through DAG Representations,10.1109/TVCG.2007.70556,http://dx.doi.org/10.1109/TVCG.2007.70556,4376153,T,"Graham, M.;Kennedy, J.",37739295500;37334180100,"Graham, M.;Kennedy, J.",graham_infovis_07,1532129;1173148;1173153;885091;175815;1382885;1532152
InfoVis,2007,Geographically Weighted Visualization: Interactive Graphics for Scale-Varying Exploratory Analysis,10.1109/TVCG.2007.70558,http://dx.doi.org/10.1109/TVCG.2007.70558,4376135,T,"Dykes, J.;Brunsdon, C.",37605079900;37945380100,"Dykes, J.;Brunsdon, C.",dykes_infovis_07,
InfoVis,2007,Hotmap: Looking at Geographic Attention,10.1109/TVCG.2007.70561,http://dx.doi.org/10.1109/TVCG.2007.70561,4376139,T,"Fisher, D.",37542391000,"Fisher, D.",fisher_infovis_07,1532122;4015428
InfoVis,2007,Interactive Tree Comparison for Co-located Collaborative Information Visualization,10.1109/TVCG.2007.70568,http://dx.doi.org/10.1109/TVCG.2007.70568,4376145,T,"Isenberg, P.;Carpendale, S.",;37285000100,"Isenberg, P.;Carpendale, S.",isenberg_infovis_07,885091;4015437
InfoVis,2007,Interactive Visual Exploration of a Large Spatio-temporal Dataset: Reflections on a Geovisualization Mashup.,10.1109/TVCG.2007.70570,http://dx.doi.org/10.1109/TVCG.2007.70570,4376138,T,"Wood, J.;Dykes, J.;Slingsby, A.;Clarke, K.",37399045100;37605079900;37590960700;37548107100,"Wood, J.;Dykes, J.;Slingsby, A.;Clarke, K.",wood_infovis_07,528686;1382904
InfoVis,2007,Legible Cities: Focus-Dependent Multi-Resolution Visualization of Urban Relationships,10.1109/TVCG.2007.70574,http://dx.doi.org/10.1109/TVCG.2007.70574,4376137,T,"Remco Chang;Wessel, G.;Kosara, R.;Sauda, E.;Ribarsky, W.",37592409400;37948880500;37282563400;37945352600;37300425000,"Chang, R.;Wessel, G.;Kosara, R.;Sauda, E.;Ribarsky, W.",chang_infovis_07,1382904;146402;1532149
InfoVis,2007,ManyEyes: a Site for Visualization at Internet Scale,10.1109/TVCG.2007.70577,http://dx.doi.org/10.1109/TVCG.2007.70577,4376131,T,"Viegas, F.B.;Wattenberg, M.;van Ham, F.;Kriss, J.;McKeon, M.",37681355300;37550759700;37326291000;37830149600;37542455400,"Viegas, F.B.;Wattenberg, M.;van Ham, F.;Kriss, J.;McKeon, M.",viegas_infovis_07,1532122;175820;1249007
InfoVis,2007,Multi-Level Graph Layout on the GPU,10.1109/TVCG.2007.70580,http://dx.doi.org/10.1109/TVCG.2007.70580,4376155,T,"Frishman, Y.;Tal, A.",37646534300;37337567000,"Frishman, Y.;Tal, A.",frishman_infovis_07,1382906
InfoVis,2007,NodeTrix: a Hybrid Visualization of Social Networks,10.1109/TVCG.2007.70582,http://dx.doi.org/10.1109/TVCG.2007.70582,4376154,T,"Henry, N.;Fekete, J.;McGuffin, M.J.",37839948300;37407972900;37403234300,"Henry, N.;Fekete, J.;McGuffin, M.J.",henry_infovis_07,4015417;4035752;1532126;1382907;4015433;1532129;4015424;4015425;1382905;1249011
InfoVis,2007,Overview Use in Multiple Visual Information Resolution Interfaces,10.1109/TVCG.2007.70583,http://dx.doi.org/10.1109/TVCG.2007.70583,4376151,T,"Lam, H.;Munzner, T.;Kincaid, R.",37873130000;37349490300;37587984100,"Lam, H.;Munzner, T.;Kincaid, R.",lam_infovis_07,1532136;1532838;1382903;146375
InfoVis,2007,Scented Widgets: Improving Navigation Cues with Embedded Visualizations,10.1109/TVCG.2007.70589,http://dx.doi.org/10.1109/TVCG.2007.70589,4376132,T,"Willett, W.;Heer, J.;Agrawala, M.",37945380800;37550791300;37282718200,"Willett, W.;Heer, J.;Agrawala, M.",willett_infovis_07,801862
InfoVis,2007,Sequential Document Visualization,10.1109/TVCG.2007.70592,http://dx.doi.org/10.1109/TVCG.2007.70592,4376142,T,"Yi Mao;Dillon, J.V.;Lebanon, G.",37957484800;37954686000;37427770800,"Yi Mao;Dillon, J.V.;Lebanon, G.",mao_infovis_07,398863;745302;963287;963273;885097
InfoVis,2007,Show Me: Automatic Presentation for Visual Analysis,10.1109/TVCG.2007.70594,http://dx.doi.org/10.1109/TVCG.2007.70594,4376133,T,"Mackinlay, J.;Hanrahan, P.;Stolte, C.",37372036700;37349803800;37442008700,"Mackinlay, J.;Hanrahan, P.;Stolte, C.",mackinlay_infovis_07,885086
InfoVis,2007,Spatialization Design: Comparing Points and Landscapes,10.1109/TVCG.2007.70596,http://dx.doi.org/10.1109/TVCG.2007.70596,4376149,T,"Tory, M.;Sprague, D.W.;Fuqu Wu;Wing Yan So;Munzner, T.",37275861300;37568763300;37956239000;37952248400;37349490300,"Tory, M.;Sprague, D.W.;Fuqu Wu;Wing Yan So;Munzner, T.",tory_infovis_07,1382891;1382900;1173146;528686
InfoVis,2007,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,10.1109/TVCG.2007.70515,http://dx.doi.org/10.1109/TVCG.2007.70515,4376144,T,"Ji Soo Yi;Youn ah Kang;Stasko, J.T.;Jacko, J.A.",;;;,"Ji Soo Yi;Youn-ah Kang;Stasko, J.;Jacko, J.A.",yi_infovis_07,346302;1532136;559213;175794;1532126;885091;801860;885086
InfoVis,2007,VisLink: Revealing Relationships Amongst Visualizations,10.1109/TVCG.2007.70521,http://dx.doi.org/10.1109/TVCG.2007.70521,4376140,T,"Collins, C.;Carpendale, S.",;,"Collins, C.;Carpendale, S.",collins_infovis_07,1250400;146402;4015424;175815;1249008;963279;4015425
InfoVis,2007,"Visual Analysis of Network Traffic for Resource Planning, Interactive Monitoring, and Interpretation of Security Threats",10.1109/TVCG.2007.70522,http://dx.doi.org/10.1109/TVCG.2007.70522,4376129,T,"Mansmann, F.;Keim, D.A.;North, S.C.;Rexroad, B.;Sheleheda, D.",37392086200;;;;,"Mansmann, F.;Keim, D.A.;North, S.C.;Rexroad, B.;Sheleheda, D.",mansmann_infovis_07,4035756;1173156;1382888;175815
InfoVis,2007,Visualization of Heterogeneous Data,10.1109/TVCG.2007.70617,http://dx.doi.org/10.1109/TVCG.2007.70617,4376141,T,"Cammarano, M.;Xin Dong;Bryan Chan;Klingner, J.;Talbot, J.;Halevy, A.;Hanrahan, P.",;;;;;;,"Cammarano, M.;Xin Dong;Bryan Chan;Klingner, J.;Talbot, J.;Halevy, A.;Hanrahan, P.",cammarano_infovis_07,885086;346302;559210
