Conference,Year,"Panel, Keynote, Captstone, Demo, Poster, ...","Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,IEEE Xplore Number Guessed,Deduped author names,filename,References,
InfoVis,2014,,T,"Harrison, L.;Fumeng Yang;Franconeri, S.;Chang, R.",;;;,,"Harrison, L.;Fumeng Yang;Franconeri, S.;Chang, R.",harrison_infovis_14,6634178;5290695;4376133,
InfoVis,2014,,T,"Gramazio, C.C.;Schloss, K.B.;Laidlaw, D.H.",;;,,"Gramazio, C.C.;Schloss, K.B.;Laidlaw, D.H.",gramazio_infovis_14,6327245;6327267;6064996;4389009;6634178;6064986;6634120;4015437;5613436;568118;6327283;6634121;6634103,
InfoVis,2014,,T,"Boy, J.;Rensink, R.A.;Bertini, E.;Fekete, J.-D.",;;;,,"Boy, J.;Rensink, R.A.;Bertini, E.;Fekete, J.",boy_infovis_14,6065014,
InfoVis,2014,,T,"Bae, J.;Watson, B.",;,,"Bae, J.;Watson, B.",bae_infovis_14,5613438;1249005,
InfoVis,2014,,T,"Lex, A.;Gehlenborg, N.;Strobelt, H.;Vuillemot, R.;Pfister, H.",;;;;,,"Lex, A.;Gehlenborg, N.;Strobelt, H.;Vuillemot, R.;Pfister, H.",lex_infovis_14,4658148;6634104;6064991;5613447;5290706;6064996;6064990,
InfoVis,2014,,T,"Sadana, R.;Major, T.;Dove, A.;Stasko, J.",;;;,,"Sadana, R.;Major, T.;Dove, A.;Stasko, J.",sadana_infovis_14,5613447;5290706;6064996;4658148;6064991;6634104,
InfoVis,2014,,T,"Kondo, B.;Collins, C.",;,,"Kondo, B.;Collins, C.",kondo_infovis_14,6634138;6327275;6327294;4658131;6400486;6327262;6634116;1532136;6064996;4658146;6065009,
InfoVis,2014,,T,"Rubio-Sanchez, M.;Sanchez, A.",;,,"Rubio-Sanchez, M.;Sanchez, A.",rubiosanchez_infovis_14,5613430;6634131;146402;663916,
InfoVis,2014,,T,"Gratzl, S.;Gehlenborg, N.;Lex, A.;Pfister, H.;Streit, M.",;;;;,,"Gratzl, S.;Gehlenborg, N.;Lex, A.;Pfister, H.;Streit, M.",gratzl_infovis_14,5290705;5613440;146402;6327256;6064995;1532788;6634146;6064990;6634192;6064997;4015424;1532152;1382895;4376140,
InfoVis,2014,,T,"Turkay, C.;Slingsby, A.;Hauser, H.;Wood, J.;Dykes, J.",;;;;,,"Turkay, C.;Slingsby, A.;Hauser, H.;Wood, J.;Dykes, J.",turkay_infovis_14,6634146;6065027;6634127;6065022;4376135;4658126;1382904;6327268;4376137;4677350;4658146;6634111,
InfoVis,2014,,T,Diansheng Guo;Xi Zhu,;,,Diansheng Guo;Xi Zhu,guo_infovis_14,5290710;4658140;4015425;4015433;6065021;1532150;6065019;1532819,
InfoVis,2014,,T,"van Goethem, A.;Reimer, A.;Speckmann, B.;Wood, J.",;;;,,"van Goethem, A.;Reimer, A.;Speckmann, B.;Wood, J.",vangoethem_infovis_14,1532145,
InfoVis,2014,,T,"Duarte, F.S.L.G.;Sikansi, F.;Fatore, F.M.;Fadel, S.G.;Paulovich, F.V.",;;;;,,"Duarte, F.S.L.G.;Sikansi, F.;Fatore, F.M.;Fadel, S.G.;Paulovich, F.V.",duarte_infovis_14,885091;1532145;4376129;5290702;4376152;175815;4658149,
InfoVis,2014,,T,"Tennekes, M.;de Jonge, E.",;,,"Tennekes, M.;de Jonge, E.",tennekes_infovis_14,6065011;885091;1173151,
InfoVis,2014,,T,"Perin, C.;Dragicevic, P.;Fekete, J.-D.",;;,,"Perin, C.;Dragicevic, P.;Fekete, J.",perin_infovis_14,4015417;6875946;6875973,
InfoVis,2014,,T,"Donghao Ren;Hollerer, T.;Xiaoru Yuan",;;,,"Donghao Ren;Hollerer, T.;Xiaoru Yuan",ren_infovis_14,1382904;5613453;5290705;5290720;1532788;6064996;4376131;1382905;5613455;6634113;636792;6064997;6064975;6327284;636761,
InfoVis,2014,,T,"Huron, S.;Jansen, Y.;Carpendale, S.",;;,,"Huron, S.;Jansen, Y.;Carpendale, S.",huron_infovis_14,5290712;6064996;6634152;4376131;1382905;6065018;663890;6327284;6634126;5613431;4376134;6327259,
InfoVis,2014,,T,"Zgraggen, E.;Zeleznik, R.;Drucker, S.M.",;;,,"Zgraggen, E.;Zeleznik, R.;Drucker, S.",zgraggen_infovis_14,885086;5290713;5613431;6065018;6634113;6327284;4389013;6634155;4376140;4658129;1532136;4376133;6327275,
InfoVis,2014,,T,"Zhicheng Liu;Heer, J.",;,,"Zhicheng Liu;Heer, J.",liu_infovis_14,5613437,
InfoVis,2014,,T,"Armstrong, Z.;Wattenberg, M.",;,,"Armstrong, Z.;Wattenberg, M.",armstrong_infovis_14,6327248;4376131,
InfoVis,2014,,T,"Correll, M.;Gleicher, M.",;,,"Correll, M.;Gleicher, M.",correll_infovis_14,6327283;6327259;6327281;6064986;6327255,
InfoVis,2014,,T,"Talbot, J.;Setlur, V.;Anand, A.",;;,,"Talbot, J.;Setlur, V.;Anand, A.",talbot_infovis_14,6327278,
InfoVis,2014,,T,"Sedlmair, M.;Heinzl, C.;Bruckner, S.;Piringer, H.;Moller, T.",;;;;,,"Sedlmair, M.;Heinzl, C.;Bruckner, S.;Piringer, H.;Moller, T.",sedlmair_infovis_14,528680;5613437;4658193;6327298;5290748;5613487;6327293;6327248;5613488;1532136;398859;5333431;4376186;6634132;5652392;1532142;6634181;6634138;6634168;6327226;5290695;6064985;6634124;6634169;6102450;1532788;6634108;6064952;5613489;5290759;6102457;6634156;6065007,
